baseline,benchmark,mode,model,served_model_name,task_id,sample_id,compile_pass,sim_pass,final_pass,failure_category,prompt_hash,latency_seconds,completion_tokens,total_tokens,source_run_id
baseline_v0_1,protocollm,lint,qwen36-35b-a3b,qwen36-35b-a3b,spi__easy2,0,False,False,False,code_extraction_failure,e6d97c3dbaad229ba570145512f95ad1c294f1a577393d389b0995ed6dae61d0,21.21138914860785,4096,4289,protocollm_lint_qwen36_35b_a3b
baseline_v0_1,protocollm,lint,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,spi__easy3,0,True,True,True,passed,d4df616eeab30f574867ef272e5f65f48e570205e4ee8cce39c09084a0df1758,44.63490220811218,978,1173,protocollm_lint_deepseek_coder
baseline_v0_1,protocollm,lint,qwen25-coder-32b,qwen25-coder-32b,spi__easy3,0,True,True,True,passed,d4df616eeab30f574867ef272e5f65f48e570205e4ee8cce39c09084a0df1758,9.636290552094579,553,741,protocollm_lint_qwen25_coder
baseline_v0_1,protocollm,lint,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,spi__easy3,0,True,True,True,passed,d4df616eeab30f574867ef272e5f65f48e570205e4ee8cce39c09084a0df1758,7.146787136793137,1157,1345,protocollm_lint_qwen3_coder
baseline_v0_1,protocollm,lint,qwen36-27b,qwen36-27b,spi__easy3,0,True,True,True,passed,d4df616eeab30f574867ef272e5f65f48e570205e4ee8cce39c09084a0df1758,34.439759218133986,2268,2461,protocollm_lint_qwen36_27b
baseline_v0_1,protocollm,lint,qwen36-35b-a3b,qwen36-35b-a3b,spi__easy3,0,False,False,False,compile_failure,d4df616eeab30f574867ef272e5f65f48e570205e4ee8cce39c09084a0df1758,12.479694199282676,2412,2605,protocollm_lint_qwen36_35b_a3b
baseline_v0_1,protocollm,lint,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,spi__easy4,0,True,True,True,passed,1e22f05d4f6ffcfff2dc2281af0c02aa658b0cead378a2fd4506d462fd2ff9b3,44.55027651414275,980,1175,protocollm_lint_deepseek_coder
baseline_v0_1,protocollm,lint,qwen25-coder-32b,qwen25-coder-32b,spi__easy4,0,True,True,True,passed,1e22f05d4f6ffcfff2dc2281af0c02aa658b0cead378a2fd4506d462fd2ff9b3,13.692735784687102,784,972,protocollm_lint_qwen25_coder
baseline_v0_1,protocollm,lint,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,spi__easy4,0,True,True,True,passed,1e22f05d4f6ffcfff2dc2281af0c02aa658b0cead378a2fd4506d462fd2ff9b3,5.386832306161523,871,1059,protocollm_lint_qwen3_coder
baseline_v0_1,protocollm,lint,qwen36-27b,qwen36-27b,spi__easy4,0,True,True,True,passed,1e22f05d4f6ffcfff2dc2281af0c02aa658b0cead378a2fd4506d462fd2ff9b3,17.98762302706018,1197,1390,protocollm_lint_qwen36_27b
baseline_v0_1,protocollm,lint,qwen36-35b-a3b,qwen36-35b-a3b,spi__easy4,0,False,False,False,code_extraction_failure,1e22f05d4f6ffcfff2dc2281af0c02aa658b0cead378a2fd4506d462fd2ff9b3,21.179651421960443,4096,4289,protocollm_lint_qwen36_35b_a3b
baseline_v0_1,protocollm,lint,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,spi__easy5,0,True,True,True,passed,9ca3828652b4068b469306fa0df802d4072bf04100c0f251573a53a1a70e9f3e,41.595401789061725,919,1114,protocollm_lint_deepseek_coder
baseline_v0_1,protocollm,lint,qwen25-coder-32b,qwen25-coder-32b,spi__easy5,0,True,True,True,passed,9ca3828652b4068b469306fa0df802d4072bf04100c0f251573a53a1a70e9f3e,7.442733274772763,427,615,protocollm_lint_qwen25_coder
baseline_v0_1,protocollm,lint,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,spi__easy5,0,True,True,True,passed,9ca3828652b4068b469306fa0df802d4072bf04100c0f251573a53a1a70e9f3e,5.315496715717018,860,1048,protocollm_lint_qwen3_coder
baseline_v0_1,protocollm,lint,qwen36-27b,qwen36-27b,spi__easy5,0,True,True,True,passed,9ca3828652b4068b469306fa0df802d4072bf04100c0f251573a53a1a70e9f3e,24.52407256839797,1616,1809,protocollm_lint_qwen36_27b
baseline_v0_1,protocollm,lint,qwen36-35b-a3b,qwen36-35b-a3b,spi__easy5,0,False,False,False,compile_failure,9ca3828652b4068b469306fa0df802d4072bf04100c0f251573a53a1a70e9f3e,14.342558826785535,2772,2965,protocollm_lint_qwen36_35b_a3b
baseline_v0_1,protocollm,lint,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,uart__easy1,0,False,False,False,compile_failure,041c07283d08d836571709c054fdcd84be59b9dc79fc0177035c35033a6dd560,66.37796204257756,1490,1778,protocollm_lint_deepseek_coder
baseline_v0_1,protocollm,lint,qwen25-coder-32b,qwen25-coder-32b,uart__easy1,0,True,True,True,passed,041c07283d08d836571709c054fdcd84be59b9dc79fc0177035c35033a6dd560,22.15764685254544,1272,1555,protocollm_lint_qwen25_coder
baseline_v0_1,protocollm,lint,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,uart__easy1,0,False,False,False,compile_failure,041c07283d08d836571709c054fdcd84be59b9dc79fc0177035c35033a6dd560,8.685776526108384,1403,1686,protocollm_lint_qwen3_coder
baseline_v0_1,protocollm,lint,qwen36-27b,qwen36-27b,uart__easy1,0,False,False,False,compile_failure,041c07283d08d836571709c054fdcd84be59b9dc79fc0177035c35033a6dd560,25.373529984150082,1706,1994,protocollm_lint_qwen36_27b
baseline_v0_1,protocollm,lint,qwen36-35b-a3b,qwen36-35b-a3b,uart__easy1,0,True,True,True,passed,041c07283d08d836571709c054fdcd84be59b9dc79fc0177035c35033a6dd560,10.651105599012226,2058,2346,protocollm_lint_qwen36_35b_a3b
baseline_v0_1,protocollm,lint,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,uart__hard1,0,True,True,True,passed,4e17293ed9c9f1b1f9b4cbc30f3ecffa7e7b2df7a7eb9761fae029b93fab79a8,48.89677642751485,1097,1387,protocollm_lint_deepseek_coder
baseline_v0_1,protocollm,lint,qwen25-coder-32b,qwen25-coder-32b,uart__hard1,0,False,False,False,compile_failure,4e17293ed9c9f1b1f9b4cbc30f3ecffa7e7b2df7a7eb9761fae029b93fab79a8,25.2758055254817,1451,1736,protocollm_lint_qwen25_coder
baseline_v0_1,protocollm,lint,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,uart__hard1,0,False,False,False,compile_failure,4e17293ed9c9f1b1f9b4cbc30f3ecffa7e7b2df7a7eb9761fae029b93fab79a8,11.710287583991885,1865,2150,protocollm_lint_qwen3_coder
baseline_v0_1,protocollm,lint,qwen36-27b,qwen36-27b,uart__hard1,0,False,False,False,compile_failure,4e17293ed9c9f1b1f9b4cbc30f3ecffa7e7b2df7a7eb9761fae029b93fab79a8,39.94645818974823,2744,3034,protocollm_lint_qwen36_27b
baseline_v0_1,protocollm,lint,qwen36-35b-a3b,qwen36-35b-a3b,uart__hard1,0,False,False,False,compile_failure,4e17293ed9c9f1b1f9b4cbc30f3ecffa7e7b2df7a7eb9761fae029b93fab79a8,9.976819066796452,1927,2217,protocollm_lint_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Accumulator__accu,0,True,False,False,simulation_failure,347a331e9e8555a41ea7667c645b7b48aa7eeab6512cf318132d8b42323b2140,14.102529594674706,304,709,rtllm2_pass1_deepseek_coder
baseline_v0_1,rtllm2,pass1,qwen25-coder-32b,qwen25-coder-32b,Arithmetic__Accumulator__accu,0,True,False,False,simulation_failure,347a331e9e8555a41ea7667c645b7b48aa7eeab6512cf318132d8b42323b2140,13.917887001298368,233,598,rtllm2_pass1_qwen25_coder
baseline_v0_1,rtllm2,pass1,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,Arithmetic__Accumulator__accu,0,True,False,False,simulation_failure,347a331e9e8555a41ea7667c645b7b48aa7eeab6512cf318132d8b42323b2140,11.040065217763186,248,613,rtllm2_pass1_qwen3_coder
baseline_v0_1,rtllm2,pass1,qwen36-27b,qwen36-27b,Arithmetic__Accumulator__accu,0,True,True,True,passed,347a331e9e8555a41ea7667c645b7b48aa7eeab6512cf318132d8b42323b2140,23.244960939045995,1489,1870,rtllm2_pass1_qwen36_27b
baseline_v0_1,rtllm2,pass1,qwen36-35b-a3b,qwen36-35b-a3b,Arithmetic__Accumulator__accu,0,True,False,False,simulation_failure,347a331e9e8555a41ea7667c645b7b48aa7eeab6512cf318132d8b42323b2140,2.3146606320515275,432,813,rtllm2_pass1_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Adder__adder_16bit,0,True,True,True,passed,c5072a0eb117687a092a1dbdb7a312a14260a5f271f4c53e43f91181a0778c84,27.720268273726106,618,873,rtllm2_pass1_deepseek_coder
baseline_v0_1,rtllm2,pass1,qwen25-coder-32b,qwen25-coder-32b,Arithmetic__Adder__adder_16bit,0,False,False,False,compile_failure,c5072a0eb117687a092a1dbdb7a312a14260a5f271f4c53e43f91181a0778c84,6.994238346815109,401,638,rtllm2_pass1_qwen25_coder
baseline_v0_1,rtllm2,pass1,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,Arithmetic__Adder__adder_16bit,0,False,False,False,compile_failure,c5072a0eb117687a092a1dbdb7a312a14260a5f271f4c53e43f91181a0778c84,4.759924240410328,770,1007,rtllm2_pass1_qwen3_coder
baseline_v0_1,rtllm2,pass1,qwen36-27b,qwen36-27b,Arithmetic__Adder__adder_16bit,0,False,False,False,compile_failure,c5072a0eb117687a092a1dbdb7a312a14260a5f271f4c53e43f91181a0778c84,13.30579990381375,826,1079,rtllm2_pass1_qwen36_27b
baseline_v0_1,rtllm2,pass1,qwen36-35b-a3b,qwen36-35b-a3b,Arithmetic__Adder__adder_16bit,0,True,True,True,passed,c5072a0eb117687a092a1dbdb7a312a14260a5f271f4c53e43f91181a0778c84,1.5788955208845437,299,552,rtllm2_pass1_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Adder__adder_32bit,0,False,False,False,compile_failure,88d8dfd49964c7a0dbb207ab075da79b0f72fed374f7b30651414b39abcfcc98,45.64737327955663,1006,1257,rtllm2_pass1_deepseek_coder
baseline_v0_1,rtllm2,pass1,qwen25-coder-32b,qwen25-coder-32b,Arithmetic__Adder__adder_32bit,0,True,True,True,passed,88d8dfd49964c7a0dbb207ab075da79b0f72fed374f7b30651414b39abcfcc98,13.049228738062084,749,985,rtllm2_pass1_qwen25_coder
baseline_v0_1,rtllm2,pass1,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,Arithmetic__Adder__adder_32bit,0,True,True,True,passed,88d8dfd49964c7a0dbb207ab075da79b0f72fed374f7b30651414b39abcfcc98,6.325921593233943,1024,1260,rtllm2_pass1_qwen3_coder
baseline_v0_1,rtllm2,pass1,qwen36-27b,qwen36-27b,Arithmetic__Adder__adder_32bit,0,False,False,False,compile_failure,88d8dfd49964c7a0dbb207ab075da79b0f72fed374f7b30651414b39abcfcc98,24.45735653489828,1568,1818,rtllm2_pass1_qwen36_27b
baseline_v0_1,rtllm2,pass1,qwen36-35b-a3b,qwen36-35b-a3b,Arithmetic__Adder__adder_32bit,0,False,False,False,code_extraction_failure,88d8dfd49964c7a0dbb207ab075da79b0f72fed374f7b30651414b39abcfcc98,21.178491834085435,4096,4346,rtllm2_pass1_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Adder__adder_8bit,0,False,False,False,compile_failure,1c4a0d832642b0e917862f7fa3d80e45d2f0fe49d78d3b189c2b9f1a8e30bf21,29.69701896328479,646,889,rtllm2_pass1_deepseek_coder
baseline_v0_1,rtllm2,pass1,qwen25-coder-32b,qwen25-coder-32b,Arithmetic__Adder__adder_8bit,0,False,False,False,compile_failure,1c4a0d832642b0e917862f7fa3d80e45d2f0fe49d78d3b189c2b9f1a8e30bf21,5.026579841040075,288,510,rtllm2_pass1_qwen25_coder
baseline_v0_1,rtllm2,pass1,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,Arithmetic__Adder__adder_8bit,0,False,False,False,compile_failure,1c4a0d832642b0e917862f7fa3d80e45d2f0fe49d78d3b189c2b9f1a8e30bf21,1.9085690332576632,307,529,rtllm2_pass1_qwen3_coder
baseline_v0_1,rtllm2,pass1,qwen36-27b,qwen36-27b,Arithmetic__Adder__adder_8bit,0,True,True,True,passed,1c4a0d832642b0e917862f7fa3d80e45d2f0fe49d78d3b189c2b9f1a8e30bf21,10.336329623125494,627,864,rtllm2_pass1_qwen36_27b
baseline_v0_1,rtllm2,pass1,qwen36-35b-a3b,qwen36-35b-a3b,Arithmetic__Adder__adder_8bit,0,False,False,False,compile_failure,1c4a0d832642b0e917862f7fa3d80e45d2f0fe49d78d3b189c2b9f1a8e30bf21,3.7533557480201125,721,958,rtllm2_pass1_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Adder__adder_bcd,0,True,True,True,passed,cd2ec58798d9174edc46b153800536388bc607961147fced8ed89cf55f80319c,8.956790843047202,199,579,rtllm2_pass1_deepseek_coder
baseline_v0_1,rtllm2,pass1,qwen25-coder-32b,qwen25-coder-32b,Arithmetic__Adder__adder_bcd,0,True,True,True,passed,cd2ec58798d9174edc46b153800536388bc607961147fced8ed89cf55f80319c,2.953155767172575,168,522,rtllm2_pass1_qwen25_coder
baseline_v0_1,rtllm2,pass1,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,Arithmetic__Adder__adder_bcd,0,True,True,True,passed,cd2ec58798d9174edc46b153800536388bc607961147fced8ed89cf55f80319c,1.0712298899888992,168,522,rtllm2_pass1_qwen3_coder
baseline_v0_1,rtllm2,pass1,qwen36-27b,qwen36-27b,Arithmetic__Adder__adder_bcd,0,True,True,True,passed,cd2ec58798d9174edc46b153800536388bc607961147fced8ed89cf55f80319c,8.711432931013405,580,951,rtllm2_pass1_qwen36_27b
baseline_v0_1,rtllm2,pass1,qwen36-35b-a3b,qwen36-35b-a3b,Arithmetic__Adder__adder_bcd,0,True,True,True,passed,cd2ec58798d9174edc46b153800536388bc607961147fced8ed89cf55f80319c,9.050976675003767,1748,2119,rtllm2_pass1_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Adder__adder_pipe_64bit,0,False,False,False,compile_failure,a7885190dc277238b4057ef5f366a4945927da21bdc9ba6d02ee885a6f7a6c6b,22.699082852341235,504,867,rtllm2_pass1_deepseek_coder
baseline_v0_1,rtllm2,pass1,qwen25-coder-32b,qwen25-coder-32b,Arithmetic__Adder__adder_pipe_64bit,0,False,False,False,compile_failure,a7885190dc277238b4057ef5f366a4945927da21bdc9ba6d02ee885a6f7a6c6b,9.424077383242548,537,871,rtllm2_pass1_qwen25_coder
baseline_v0_1,rtllm2,pass1,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,Arithmetic__Adder__adder_pipe_64bit,0,False,False,False,compile_failure,a7885190dc277238b4057ef5f366a4945927da21bdc9ba6d02ee885a6f7a6c6b,6.07475604955107,979,1313,rtllm2_pass1_qwen3_coder
baseline_v0_1,rtllm2,pass1,qwen36-27b,qwen36-27b,Arithmetic__Adder__adder_pipe_64bit,0,False,False,False,compile_failure,a7885190dc277238b4057ef5f366a4945927da21bdc9ba6d02ee885a6f7a6c6b,13.075535767246038,860,1208,rtllm2_pass1_qwen36_27b
baseline_v0_1,rtllm2,pass1,qwen36-35b-a3b,qwen36-35b-a3b,Arithmetic__Adder__adder_pipe_64bit,0,False,False,False,compile_failure,a7885190dc277238b4057ef5f366a4945927da21bdc9ba6d02ee885a6f7a6c6b,11.707945574074984,2259,2607,rtllm2_pass1_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Comparator__comparator_3bit,0,True,True,True,passed,66d3d73603a0cef7856381cef080d93faf193852ac84b7c480365955654dbc3c,4.361193113029003,96,467,rtllm2_pass1_deepseek_coder
baseline_v0_1,rtllm2,pass1,qwen25-coder-32b,qwen25-coder-32b,Arithmetic__Comparator__comparator_3bit,0,True,True,True,passed,66d3d73603a0cef7856381cef080d93faf193852ac84b7c480365955654dbc3c,1.599547534249723,88,425,rtllm2_pass1_qwen25_coder
baseline_v0_1,rtllm2,pass1,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,Arithmetic__Comparator__comparator_3bit,0,True,True,True,passed,66d3d73603a0cef7856381cef080d93faf193852ac84b7c480365955654dbc3c,0.5530595490708947,86,423,rtllm2_pass1_qwen3_coder
baseline_v0_1,rtllm2,pass1,qwen36-27b,qwen36-27b,Arithmetic__Comparator__comparator_3bit,0,True,True,True,passed,66d3d73603a0cef7856381cef080d93faf193852ac84b7c480365955654dbc3c,1.953791500069201,128,484,rtllm2_pass1_qwen36_27b
baseline_v0_1,rtllm2,pass1,qwen36-35b-a3b,qwen36-35b-a3b,Arithmetic__Comparator__comparator_3bit,0,True,True,True,passed,66d3d73603a0cef7856381cef080d93faf193852ac84b7c480365955654dbc3c,0.7037721648812294,129,485,rtllm2_pass1_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Comparator__comparator_4bit,0,True,False,False,simulation_failure,f40d36222f154c5ff61fe4784f70f4b110249e9c67865da6d6d6bca775bd52d8,6.8337449841201305,152,565,rtllm2_pass1_deepseek_coder
baseline_v0_1,rtllm2,pass1,qwen25-coder-32b,qwen25-coder-32b,Arithmetic__Comparator__comparator_4bit,0,True,False,False,simulation_failure,f40d36222f154c5ff61fe4784f70f4b110249e9c67865da6d6d6bca775bd52d8,4.851538301445544,275,650,rtllm2_pass1_qwen25_coder
baseline_v0_1,rtllm2,pass1,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,Arithmetic__Comparator__comparator_4bit,0,True,False,False,simulation_failure,f40d36222f154c5ff61fe4784f70f4b110249e9c67865da6d6d6bca775bd52d8,1.4086454771459103,219,594,rtllm2_pass1_qwen3_coder
baseline_v0_1,rtllm2,pass1,qwen36-27b,qwen36-27b,Arithmetic__Comparator__comparator_4bit,0,True,True,True,passed,f40d36222f154c5ff61fe4784f70f4b110249e9c67865da6d6d6bca775bd52d8,10.838208660949022,707,1103,rtllm2_pass1_qwen36_27b
baseline_v0_1,rtllm2,pass1,qwen36-35b-a3b,qwen36-35b-a3b,Arithmetic__Comparator__comparator_4bit,0,True,True,True,passed,f40d36222f154c5ff61fe4784f70f4b110249e9c67865da6d6d6bca775bd52d8,2.324384847190231,442,838,rtllm2_pass1_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Divider__div_16bit,0,True,True,True,passed,92c75dc50730ad8e95a528a7862438ffef20405cd27b8c85be65e7cc78a8619e,11.228061698377132,248,615,rtllm2_pass1_deepseek_coder
baseline_v0_1,rtllm2,pass1,qwen25-coder-32b,qwen25-coder-32b,Arithmetic__Divider__div_16bit,0,True,True,True,passed,92c75dc50730ad8e95a528a7862438ffef20405cd27b8c85be65e7cc78a8619e,4.8484521843492985,277,615,rtllm2_pass1_qwen25_coder
baseline_v0_1,rtllm2,pass1,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,Arithmetic__Divider__div_16bit,0,False,False,False,compile_failure,92c75dc50730ad8e95a528a7862438ffef20405cd27b8c85be65e7cc78a8619e,1.9857111740857363,318,656,rtllm2_pass1_qwen3_coder
baseline_v0_1,rtllm2,pass1,qwen36-27b,qwen36-27b,Arithmetic__Divider__div_16bit,0,False,False,False,compile_failure,92c75dc50730ad8e95a528a7862438ffef20405cd27b8c85be65e7cc78a8619e,15.761559017933905,1033,1389,rtllm2_pass1_qwen36_27b
baseline_v0_1,rtllm2,pass1,qwen36-35b-a3b,qwen36-35b-a3b,Arithmetic__Divider__div_16bit,0,True,True,True,passed,92c75dc50730ad8e95a528a7862438ffef20405cd27b8c85be65e7cc78a8619e,2.7475142520852387,525,881,rtllm2_pass1_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Divider__radix2_div,0,False,False,False,compile_failure,ec60975da7675535b98604fed99599791e1481d87e140fbdd07c3e83c44a72d4,28.81334405671805,628,1219,rtllm2_pass1_deepseek_coder
baseline_v0_1,rtllm2,pass1,qwen25-coder-32b,qwen25-coder-32b,Arithmetic__Divider__radix2_div,0,False,False,False,compile_failure,ec60975da7675535b98604fed99599791e1481d87e140fbdd07c3e83c44a72d4,10.078522577881813,577,1103,rtllm2_pass1_qwen25_coder
baseline_v0_1,rtllm2,pass1,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b,Arithmetic__Divider__radix2_div,0,False,False,False,compile_failure,ec60975da7675535b98604fed99599791e1481d87e140fbdd07c3e83c44a72d4,4.743246691301465,763,1289,rtllm2_pass1_qwen3_coder
baseline_v0_1,rtllm2,pass1,qwen36-27b,qwen36-27b,Arithmetic__Divider__radix2_div,0,False,False,False,compile_failure,ec60975da7675535b98604fed99599791e1481d87e140fbdd07c3e83c44a72d4,28.757469894830137,1897,2454,rtllm2_pass1_qwen36_27b
baseline_v0_1,rtllm2,pass1,qwen36-35b-a3b,qwen36-35b-a3b,Arithmetic__Divider__radix2_div,0,False,False,False,compile_failure,ec60975da7675535b98604fed99599791e1481d87e140fbdd07c3e83c44a72d4,16.38650844898075,3038,3595,rtllm2_pass1_qwen36_35b_a3b
baseline_v0_1,rtllm2,pass1,deepseek-coder-v2-lite-instruct,deepseek-coder-v2-lite,Arithmetic__Multiplier__multi_16bit,0,True,True,True,passed,bfa3cf9915e6ebaa5873400bc14776f50f0388f7bc579db140036b9b301eb212,19.7979934560135,434,1281,rtllm2_pass1_deepseek_coder
