baseline,benchmark,mode,task_id,model,sample_id,final_pass,compile_pass,sim_pass,failure_category,source_results_path
baseline_v0_1,protocollm,lint,uart__easy1,deepseek-coder-v2-lite-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,uart__easy1,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,uart__easy1,qwen3-coder-30b-a3b-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,uart__easy1,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,uart__easy1,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,uart__hard1,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,uart__hard1,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,uart__hard1,qwen3-coder-30b-a3b-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,uart__hard1,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,protocollm,lint,uart__hard1,qwen36-35b-a3b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Accumulator__accu,deepseek-coder-v2-lite-instruct,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Accumulator__accu,qwen25-coder-32b,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Accumulator__accu,qwen3-coder-30b-a3b-instruct,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Accumulator__accu,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Accumulator__accu,qwen36-35b-a3b,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_16bit,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_16bit,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_16bit,qwen3-coder-30b-a3b-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_16bit,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_16bit,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_32bit,deepseek-coder-v2-lite-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_32bit,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_32bit,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_32bit,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_32bit,qwen36-35b-a3b,0,False,False,False,code_extraction_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_8bit,deepseek-coder-v2-lite-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_8bit,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_8bit,qwen3-coder-30b-a3b-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_8bit,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_8bit,qwen36-35b-a3b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_bcd,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_bcd,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_bcd,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_bcd,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_bcd,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_pipe_64bit,deepseek-coder-v2-lite-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_pipe_64bit,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_pipe_64bit,qwen3-coder-30b-a3b-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_pipe_64bit,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Adder__adder_pipe_64bit,qwen36-35b-a3b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Comparator__comparator_3bit,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Comparator__comparator_3bit,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Comparator__comparator_3bit,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Comparator__comparator_3bit,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Comparator__comparator_3bit,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Comparator__comparator_4bit,deepseek-coder-v2-lite-instruct,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Comparator__comparator_4bit,qwen25-coder-32b,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Comparator__comparator_4bit,qwen3-coder-30b-a3b-instruct,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Comparator__comparator_4bit,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Comparator__comparator_4bit,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Divider__div_16bit,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Divider__div_16bit,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Divider__div_16bit,qwen3-coder-30b-a3b-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Divider__div_16bit,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Divider__div_16bit,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Divider__radix2_div,deepseek-coder-v2-lite-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Divider__radix2_div,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Divider__radix2_div,qwen3-coder-30b-a3b-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Divider__radix2_div,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Divider__radix2_div,qwen36-35b-a3b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_16bit,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_16bit,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_16bit,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_16bit,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_16bit,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_8bit,deepseek-coder-v2-lite-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_8bit,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_8bit,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_8bit,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_8bit,qwen36-35b-a3b,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_booth_8bit,deepseek-coder-v2-lite-instruct,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_booth_8bit,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_booth_8bit,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_booth_8bit,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_booth_8bit,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_pipe_4bit,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_pipe_4bit,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_pipe_4bit,qwen3-coder-30b-a3b-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_pipe_4bit,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_pipe_4bit,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_pipe_8bit,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_pipe_8bit,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_pipe_8bit,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_pipe_8bit,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Multiplier__multi_pipe_8bit,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__fixed_point_adder,deepseek-coder-v2-lite-instruct,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__fixed_point_adder,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__fixed_point_adder,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__fixed_point_adder,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__fixed_point_adder,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__fixed_point_substractor,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__fixed_point_substractor,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__fixed_point_substractor,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__fixed_point_substractor,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__fixed_point_substractor,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__float_multi,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__float_multi,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__float_multi,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__float_multi,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Other__float_multi,qwen36-35b-a3b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Substractor__sub_64bit,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Substractor__sub_64bit,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Substractor__sub_64bit,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Substractor__sub_64bit,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Arithmetic__Substractor__sub_64bit,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__JC_counter,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__JC_counter,qwen25-coder-32b,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__JC_counter,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__JC_counter,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__JC_counter,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__counter_12,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__counter_12,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__counter_12,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__counter_12,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__counter_12,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__ring_counter,deepseek-coder-v2-lite-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__ring_counter,qwen25-coder-32b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__ring_counter,qwen3-coder-30b-a3b-instruct,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__ring_counter,qwen36-27b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__ring_counter,qwen36-35b-a3b,0,False,False,False,compile_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__up_down_counter,deepseek-coder-v2-lite-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__up_down_counter,qwen25-coder-32b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__up_down_counter,qwen3-coder-30b-a3b-instruct,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__up_down_counter,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Counter__up_down_counter,qwen36-35b-a3b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Finite State Machine__fsm,deepseek-coder-v2-lite-instruct,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Finite State Machine__fsm,qwen25-coder-32b,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Finite State Machine__fsm,qwen3-coder-30b-a3b-instruct,0,False,True,False,simulation_failure,artifacts/baseline_v0.2/per_task_results.jsonl
baseline_v0_1,rtllm2,pass1,Control__Finite State Machine__fsm,qwen36-27b,0,True,True,True,passed,artifacts/baseline_v0.2/per_task_results.jsonl
